qid,name,gender,year,prize,portion,motivation,affiliation
Q7487,Dorothy Crowfoot Hodgkin,female,1964,Chemistry,1,for her determinations by X-ray techniques of the structures of important biochemical substances,"University of Oxford, Royal Society"
Q232316,Robert Burns Woodward,male,1965,Chemistry,1,for his outstanding achievements in the art of organic synthesis,Harvard University
Q233355,Robert S. Mulliken,male,1966,Chemistry,1,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method,University of Chicago
Q106762,George Porter,male,1967,Chemistry,1/4,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",Royal Institution of Great Britain
Q76600,Manfred Eigen,male,1967,Chemistry,1/2,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",Max-Planck-Institut für Physikalische Chemie
Q235834,Ronald George Wreyford Norrish,male,1967,Chemistry,1/4,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",Institute of Physical Chemistry
Q107405,Lars Onsager,male,1968,Chemistry,1,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes",Yale University
Q102419,Derek H. R. Barton,male,1969,Chemistry,1/2,for their contributions to the development of the concept of conformation and its application in chemistry,Imperial College
Q157212,Odd Hassel,male,1969,Chemistry,1/2,for their contributions to the development of the concept of conformation and its application in chemistry,University of Oslo
Q233985,Luis F. Leloir,male,1970,Chemistry,1,for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates,Institute for Biochemical Research
Q76602,Gerhard Herzberg,male,1971,Chemistry,1,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals",National Research Council of Canada
Q102278,Christian B. Anfinsen,male,1972,Chemistry,1/2,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",National Institutes of Health
Q110952,Stanford Moore,male,1972,Chemistry,1/4,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,Rockefeller University
Q156492,William H. Stein,male,1972,Chemistry,1/4,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,Rockefeller University
Q44594,Ernst Otto Fischer,male,1973,Chemistry,1/2,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",Technical University
Q274128,Geoffrey Wilkinson,male,1973,Chemistry,1/2,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",Imperial College
Q176351,Paul J. Flory,male,1974,Chemistry,1,"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules",Stanford University
Q135154,John Warcup Cornforth,male,1975,Chemistry,1/2,for his work on the stereochemistry of enzyme-catalyzed reactions,University of Sussex
Q83501,Vladimir Prelog,male,1975,Chemistry,1/2,for his research into the stereochemistry of organic molecules and reactions,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)
Q110935,William N. Lipscomb,male,1976,Chemistry,1,for his studies on the structure of boranes illuminating problems of chemical bonding,Harvard University
Q183509,Ilya Romanovich Prigogine,male,1977,Chemistry,1,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",Université Libre de Bruxelles
Q207992,Peter D. Mitchell,male,1978,Chemistry,1,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,Glynn Research Laboratories
Q77171,Georg Wittig,male,1979,Chemistry,1/2,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",University of Heidelberg
Q102406,Herbert C. Brown,male,1979,Chemistry,1/2,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",Purdue University
Q151564,Frederick Sanger,male,1980,Chemistry,1/4,for their contributions concerning the determination of base sequences in nucleic acids,MRC Laboratory of Molecular Biology
Q102379,Paul Berg,male,1980,Chemistry,1/2,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA",Stanford University
Q217486,Walter Gilbert,male,1980,Chemistry,1/4,for their contributions concerning the determination of base sequences in nucleic acids,"Harvard University, Biological Laboratories"
Q217734,Kenichi Fukui,male,1981,Chemistry,1/2,"for their theories, developed independently, concerning the course of chemical reactions",Kyoto University
Q273279,Roald Hoffmann,male,1981,Chemistry,1/2,"for their theories, developed independently, concerning the course of chemical reactions",Cornell University
Q190626,Aaron Klug,male,1982,Chemistry,1,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,MRC Laboratory of Molecular Biology
Q235983,Henry Taube,male,1983,Chemistry,1,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes",Stanford University
Q224153,Robert Bruce Merrifield,male,1984,Chemistry,1,for his development of methodology for chemical synthesis on a solid matrix,Rockefeller University
Q107422,Herbert A. Hauptman,male,1985,Chemistry,1/2,for their outstanding achievements in the development of direct methods for the determination of crystal structures,The Medical Foundation of Buffalo
Q106733,Jerome Karle,male,1985,Chemistry,1/2,for their outstanding achievements in the development of direct methods for the determination of crystal structures,US Naval Research Laboratory
Q243196,Dudley R. Herschbach,male,1986,Chemistry,1/3,for their contributions concerning the dynamics of chemical elementary processes,Harvard University
Q237825,John C. Polanyi,male,1986,Chemistry,1/3,for their contributions concerning the dynamics of chemical elementary processes,University of Toronto
Q243190,Yuan T. Lee,male,1986,Chemistry,1/3,for their contributions concerning the dynamics of chemical elementary processes,University of California
Q244998,Charles J. Pedersen,male,1987,Chemistry,1/3,for their development and use of molecules with structure-specific interactions of high selectivity,Du Pont
Q135151,Donald J. Cram,male,1987,Chemistry,1/3,for their development and use of molecules with structure-specific interactions of high selectivity,University of California
Q107690,Jean-Marie Lehn,male,1987,Chemistry,1/3,for their development and use of molecules with structure-specific interactions of high selectivity,Université Louis Pasteur
Q77086,Hartmut Michel,male,1988,Chemistry,1/3,for the determination of the three-dimensional structure of a photosynthetic reaction centre,Max-Planck-Institut für Biophysik
Q76612,Johann Deisenhofer,male,1988,Chemistry,1/3,for the determination of the three-dimensional structure of a photosynthetic reaction centre,University of Texas Southwestern Medical Center at Dallas
Q76623,Robert Huber,male,1988,Chemistry,1/3,for the determination of the three-dimensional structure of a photosynthetic reaction centre,Max-Planck-Institut für Biochemie
Q102266,Sidney Altman,male,1989,Chemistry,1/2,for their discovery of catalytic properties of RNA,Yale University
Q135180,Thomas R. Cech,male,1989,Chemistry,1/2,for their discovery of catalytic properties of RNA,University of Colorado
Q135171,Elias James Corey,male,1990,Chemistry,1,for his development of the theory and methodology of organic synthesis,Harvard University
Q122272,Richard R. Ernst,male,1991,Chemistry,1,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)
Q239067,Rudolph A. Marcus,male,1992,Chemistry,1,for his contributions to the theory of electron transfer reactions in chemical systems,California Institute of Technology (Caltech)
Q157224,Kary B. Mullis,male,1993,Chemistry,1/2,for his invention of the polymerase chain reaction (PCR) method,NA
Q232289,Michael Smith,male,1993,Chemistry,1/2,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies",University of British Columbia
Q192603,George A. Olah,male,1994,Chemistry,1,for his contribution to carbocation chemistry,University of Southern California
Q111190,F. Sherwood Rowland,male,1995,Chemistry,1/3,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",University of California
Q19045,Mario J. Molina,male,1995,Chemistry,1/3,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",Massachusetts Institute of Technology (MIT)
Q135139,Paul J. Crutzen,male,1995,Chemistry,1/3,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",Max-Planck-Institut für Chemie
Q106746,Richard E. Smalley,male,1996,Chemistry,1/3,for their discovery of fullerenes,Rice University
Q110930,Robert F. Curl Jr.,male,1996,Chemistry,1/3,for their discovery of fullerenes,Rice University
Q157250,Sir Harold W. Kroto,male,1996,Chemistry,1/3,for their discovery of fullerenes,University of Sussex
Q1687170,Jens C. Skou,male,1997,Chemistry,1/2,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase",Aarhus University
Q235184,John E. Walker,male,1997,Chemistry,1/4,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),MRC Laboratory of Molecular Biology
Q102395,Paul D. Boyer,male,1997,Chemistry,1/4,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),University of California
Q233973,John A. Pople,male,1998,Chemistry,1/2,for his development of computational methods in quantum chemistry,Northwestern University
Q78510,Walter Kohn,male,1998,Chemistry,1/2,for his development of the density-functional theory,University of California
Q106624,Ahmed H. Zewail,male,1999,Chemistry,1,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,California Institute of Technology (Caltech)
Q110942,Alan G. MacDiarmid,male,2000,Chemistry,1/3,for the discovery and development of conductive polymers,University of Pennsylvania
Q106751,Alan J. Heeger,male,2000,Chemistry,1/3,for the discovery and development of conductive polymers,University of California
Q110916,Hideki Shirakawa,male,2000,Chemistry,1/3,for the discovery and development of conductive polymers,University of Tsukuba
Q110925,K. Barry Sharpless,male,2001,Chemistry,1/2,for his work on chirally catalysed oxidation reactions,The Scripps Research Institute
Q157210,Ryoji Noyori,male,2001,Chemistry,1/4,for their work on chirally catalysed hydrogenation reactions,Nagoya University
Q110947,William S. Knowles,male,2001,Chemistry,1/4,for their work on chirally catalysed hydrogenation reactions,NA
Q106738,John B. Fenn,male,2002,Chemistry,1/4,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,Virginia Commonwealth University
Q110963,Koichi Tanaka,male,2002,Chemistry,1/4,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,Shimadzu Corp.
Q110957,Kurt Wüthrich,male,2002,Chemistry,1/2,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)
Q102250,Peter Agre,male,2003,Chemistry,1/2,for the discovery of water channels,Johns Hopkins University School of Medicine
Q211482,Roderick MacKinnon,male,2003,Chemistry,1/2,for structural and mechanistic studies of ion channels,Rockefeller University
Q233205,Aaron Ciechanover,male,2004,Chemistry,1/3,for the discovery of ubiquitin-mediated protein degradation,Technion - Israel Institute of Technology
Q232302,Avram Hershko,male,2004,Chemistry,1/3,for the discovery of ubiquitin-mediated protein degradation,Technion - Israel Institute of Technology
Q230652,Irwin Rose,male,2004,Chemistry,1/3,for the discovery of ubiquitin-mediated protein degradation,University of California
Q202159,Richard R. Schrock,male,2005,Chemistry,1/3,for the development of the metathesis method in organic synthesis,Massachusetts Institute of Technology (MIT)
Q202140,Robert H. Grubbs,male,2005,Chemistry,1/3,for the development of the metathesis method in organic synthesis,California Institute of Technology (Caltech)
Q202146,Yves Chauvin,male,2005,Chemistry,1/3,for the development of the metathesis method in organic synthesis,Institut Français du Pétrole
Q170676,Roger D. Kornberg,male,2006,Chemistry,1,for his studies of the molecular basis of eukaryotic transcription,Stanford University
Q60066,Gerhard Ertl,male,2007,Chemistry,1,for his studies of chemical processes on solid surfaces,Fritz-Haber-Institut der Max-Planck-Gesellschaft
Q106699,Martin Chalfie,male,2008,Chemistry,1/3,"for the discovery and development of the green fluorescent protein, GFP",Columbia University
Q205345,Osamu Shimomura,male,2008,Chemistry,1/3,"for the discovery and development of the green fluorescent protein, GFP",Marine Biological Laboratory (MBL)
Q200470,Roger Y. Tsien,male,2008,Chemistry,1/3,"for the discovery and development of the green fluorescent protein, GFP",University of California
Q7426,Ada E. Yonath,female,2009,Chemistry,1/3,for studies of the structure and function of the ribosome,Weizmann Institute of Science
Q109559,Thomas A. Steitz,male,2009,Chemistry,1/3,for studies of the structure and function of the ribosome,Yale University
Q60061,Venkatraman Ramakrishnan,male,2009,Chemistry,1/3,for studies of the structure and function of the ribosome,MRC Laboratory of Molecular Biology
Q105949,Akira Suzuki,male,2010,Chemistry,1/3,for palladium-catalyzed cross couplings in organic synthesis,Hokkaido University
Q105927,Ei-ichi Negishi,male,2010,Chemistry,1/3,for palladium-catalyzed cross couplings in organic synthesis,Purdue University
Q106471,Richard F. Heck,male,2010,Chemistry,1/3,for palladium-catalyzed cross couplings in organic synthesis,University of Delaware
Q44111,Dan Shechtman,male,2011,Chemistry,1,for the discovery of quasicrystals,Technion - Israel Institute of Technology
Q80907,Brian K. Kobilka,male,2012,Chemistry,1/2,for studies of G-protein-coupled receptors,Stanford University School of Medicine
Q80910,Robert J. Lefkowitz,male,2012,Chemistry,1/2,for studies of G-protein-coupled receptors,Howard Hughes Medical Institute
Q4790366,Arieh Warshel,male,2013,Chemistry,1/3,for the development of multiscale models for complex chemical systems,University of Southern California
Q903471,Martin Karplus,male,2013,Chemistry,1/3,for the development of multiscale models for complex chemical systems,Université de Strasbourg
Q6832227,Michael Levitt,male,2013,Chemistry,1/3,for the development of multiscale models for complex chemical systems,Stanford University School of Medicine
Q1351105,Eric Betzig,male,2014,Chemistry,1/3,for the development of super-resolved fluorescence microscopy,"Janelia Research Campus, Howard Hughes Medical Institute"
Q91410,Stefan W. Hell,male,2014,Chemistry,1/3,for the development of super-resolved fluorescence microscopy,Max Planck Institute for Biophysical Chemistry
Q1387059,William E. Moerner,male,2014,Chemistry,1/3,for the development of super-resolved fluorescence microscopy,Stanford University
Q15118973,Aziz Sancar,male,2015,Chemistry,1/3,for mechanistic studies of DNA repair,University of North Carolina
Q7151888,Paul Modrich,male,2015,Chemistry,1/3,for mechanistic studies of DNA repair,Howard Hughes Medical Institute
Q1886068,Tomas Lindahl,male,2015,Chemistry,1/3,for mechanistic studies of DNA repair,Francis Crick Institute
Q3259614,Bernard L. Feringa,male,2016,Chemistry,1/3,for the design and synthesis of molecular machines,University of Groningen
Q3169751,Jean-Pierre Sauvage,male,2016,Chemistry,1/3,for the design and synthesis of molecular machines,University of Strasbourg
Q376243,Sir J. Fraser Stoddart,male,2016,Chemistry,1/3,for the design and synthesis of molecular machines,Northwestern University
Q41585344,Jacques Dubochet,male,2017,Chemistry,1/3,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,University of Lausanne
Q28833112,Joachim Frank,male,2017,Chemistry,1/3,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Columbia University
Q1678456,Richard Henderson,male,2017,Chemistry,1/3,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,MRC Laboratory of Molecular Biology
Q4273363,Frances H. Arnold,female,2018,Chemistry,1/2,for the directed evolution of enzymes,California Institute of Technology (Caltech)
Q56868017,George P. Smith,male,2018,Chemistry,1/4,for the phage display of peptides and antibodies,University of Missouri
Q1545000,Sir Gregory P. Winter,male,2018,Chemistry,1/4,for the phage display of peptides and antibodies,MRC Laboratory of Molecular Biology
Q4701206,Akira Yoshino,male,2019,Chemistry,1/3,for the development of lithium-ion batteries,Asahi Kasei Corporation
Q906529,John B. Goodenough,male,2019,Chemistry,1/3,for the development of lithium-ion batteries,University of Texas
Q285062,M. Stanley Whittingham,male,2019,Chemistry,1/3,for the development of lithium-ion batteries,"Binghamton University, State University of New York"
Q17280087,Emmanuelle Charpentier,female,2020,Chemistry,1/2,for the development of a method for genome editing,Max Planck Unit for the Science of Pathogens
Q56068,Jennifer A. Doudna,female,2020,Chemistry,1/2,for the development of a method for genome editing,University of California
Q105572,Benjamin List,male,2021,Chemistry,1/2,for the development of asymmetric organocatalysis,Max-Planck-Institut für Kohlenforschung
Q5237001,David W.C. MacMillan,male,2021,Chemistry,1/2,for the development of asymmetric organocatalysis,Princeton University
Q7442,Carolyn R. Bertozzi,female,2022,Chemistry,1/3,for the development of click chemistry and bioorthogonal chemistry,Stanford University
Q110925,K. Barry Sharpless,male,2022,Chemistry,1/3,for the development of click chemistry and bioorthogonal chemistry,Scripps Research
Q6914509,Morten Meldal,male,2022,Chemistry,1/3,for the development of click chemistry and bioorthogonal chemistry,University of Copenhagen
Q1547368,Aleksey Yekimov ,male,2023,Chemistry,1/3,for the discovery and synthesis of quantum dots,Nanocrystals Technology Inc.
Q194646,Louis E. Brus,male,2023,Chemistry,1/3,for the discovery and synthesis of quantum dots,Columbia University
Q15433043,Moungi G. Bawendi,male,2023,Chemistry,1/3,for the discovery and synthesis of quantum dots,Massachusetts Institute of Technology (MIT)
Q3814528,David Baker,male,2024,Chemistry,1/2,for computational protein design,University of Washington
Q3022141,Demis Hassabis,male,2024,Chemistry,1/4,for protein structure prediction,Google DeepMind
Q89620738,John Jumper,male,2024,Chemistry,1/4,for protein structure prediction,Google DeepMind
Q743252,Omar M. Yaghi,male,2025,Chemistry,1/3,for the development of metal–organic frameworks,University of California
Q23073819,Richard Robson,male,2025,Chemistry,1/3,for the development of metal–organic frameworks,University of Melbourne
Q11401680,Susumu Kitagawa,male,2025,Chemistry,1/3,for the development of metal–organic frameworks,Kyoto University
Q42247,Sully Prudhomme,male,1901,Literature,1,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",NA
Q25351,Christian Matthias Theodor Mommsen,male,1902,Literature,1,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",NA
Q46405,Bjørnstjerne Martinus Bjørnson,male,1903,Literature,1,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",NA
Q42596,Frédéric Mistral,male,1904,Literature,1/2,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",NA
Q127349,José Echegaray y Eizaguirre,male,1904,Literature,1/2,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",NA
Q41502,Henryk Sienkiewicz,male,1905,Literature,1,because of his outstanding merits as an epic writer,NA
Q43440,Giosuè Carducci,male,1906,Literature,1,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",NA
Q34743,Rudyard Kipling,male,1907,Literature,1,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",NA
